phil_A,phil_G,phil_V,phil_L_I,phil_F_W_Y,phil_M_C,phil_S_T,phil_R_K,phil_D_E,phil_N_Q,phil_H,phil_P,phob_A,phob_G,phob_V,phob_L_I,phob_F_W_Y,phob_M_C,phob_S_T,phob_R_K,phob_D_E,phob_N_Q,phob_H,phob_P
0.0,0.0,0.08,0.08,0.08,0.08,0.25,0.25,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.16,0.0,0.08,0.0,0.16,0.0,0.0
0.0,0.0,0.0,0.22,0.22,0.0,0.11,0.22,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.33,0.11,0.11,0.0,0.22,0.11,0.0,0.0,0.0
0.0,0.0,0.08,0.16,0.0,0.0,0.25,0.25,0.16,0.08,0.0,0.0,0.0,0.08,0.0,0.25,0.33,0.0,0.0,0.08,0.0,0.08,0.08,0.0
0.14,0.0,0.0,0.0,0.0,0.0,0.43,0.28,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.58,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0
0.08,0.0,0.0,0.16,0.08,0.08,0.25,0.25,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.42,0.34,0.0,0.08,0.0,0.0,0.17,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.17,0.0,0.0,0.17,0.5,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.33,0.11,0.22,0.0,0.11,0.0,0.0,0.11,0.44,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.11
0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.33,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.33,0.34,0.0,0.17,0.0,0.0,0.17,0.0,0.0
0.0,0.0,0.0,0.11,0.22,0.0,0.0,0.33,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.22,0.0,0.22,0.11,0.0,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.28,0.14,0.29,0.0,0.0,0.0,0.0,0.14,0.43,0.28,0.0,0.0,0.0,0.0,0.14,0.0,0.0
0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.33,0.34,0.17,0.0,0.0,0.0,0.0,0.0,0.67,0.34,0.0,0.17,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.2,0.3,0.0,0.1,0.0,0.1,0.0,0.2,0.4,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.1
