PLS1_score,Median of NEES boxcox
2.2507526469760633,0.398
0.6308153739201053,0.391
1.3971628647054388,0.378
1.246049588879567,0.37
-0.18328129668380966,0.366
-1.066949546224473,0.355
2.216310326353322,0.408
1.3439955273867021,0.4
1.795214673020436,0.398
-1.3877080763057061,0.392
0.05904900384922997,0.367
-0.4521104361951768,0.36
1.3961145821000576,0.407
1.268784028727376,0.36
-2.3904190861220886,0.358
-1.022609722570277,0.346
-3.2284495871824723,0.337
-1.5615006385679975,0.332
-2.3112202260662973,0.331
