"Median of NEES
boxcox",Length,Hydrophobicity,"Hydrophobic 
density","Hydrophobic_
moment",Netcharge,"RK_Hydrophobic ratio
Log1p","STRK_ratio
Log1p"
0.398,26,0.72,46.154,0.2,1,0.034628457,1.355
0.391,20,0.55,35,0.44,0,0.05804623,1.386
0.378,10,0.63,50,0.61,0,0.079181246,1.099
0.37,9,0.73,44.444,0.65,1,0.096910013,1.099
0.366,11,0.42,45.455,0.38,3,0.204119983,0.293
0.355,9,0.34,44.444,0.57,3,0.243038049,0
0.408,24,0.81,54.167,0.44,3,0.090258053,0.693
0.4,22,0.61,54.545,0.52,0,0.096910013,0.693
0.398,18,0.76,50,0.31,1,0.087071206,0.405
0.392,24,0.32,37.5,0.63,2,0.192009593,0.191
0.367,23,0.47,43.478,0.52,2,0.146128036,0.693
0.36,15,0.39,40,0.42,3,0.176091259,0.392
0.407,23,0.71,47.826,0.27,0,0.072617477,0
0.36,23,0.56,43.478,0.42,2,0.079181246,1.634
0.358,113,0.19,25.664,0.29,1,0.171141151,1.061
0.346,23,0.37,34.783,0.47,3,0.176091259,0.223
0.337,20,0.1,25,0.46,4,0.301029996,0
0.332,39,0.27,35.897,0.44,-5,0.132579848,0.272
0.331,54,0.19,33.333,0.46,-5,0.159567193,0.191
